N,Algorithm,Structure,BestMs,MeanMs,MedianMs,WorstMs,BestOps,MeanOps,MedianOps,WorstOps
100,Insertion Sort,ArrayList,0.0387,0.0387,0.0387,0.0387,9884.0,9884.0,9884.0,9884.0
100,Insertion Sort,LinkedList,0.1827,0.1827,0.1827,0.1827,9884.0,9884.0,9884.0,9884.0
100,Bubble Sort,ArrayList,0.0767,0.0767,0.0767,0.0767,9886.0,9886.0,9886.0,9886.0
100,Bubble Sort,LinkedList,0.8594,0.8594,0.8594,0.8594,9886.0,9886.0,9886.0,9886.0
400,Insertion Sort,ArrayList,0.3340,0.3340,0.3340,0.3340,150096.0,150096.0,150096.0,150096.0
400,Insertion Sort,LinkedList,21.3132,21.3132,21.3132,21.3132,150096.0,150096.0,150096.0,150096.0
400,Bubble Sort,ArrayList,2.1758,2.1758,2.1758,2.1758,154725.0,154725.0,154725.0,154725.0
400,Bubble Sort,LinkedList,52.3655,52.3655,52.3655,52.3655,154725.0,154725.0,154725.0,154725.0
800,Insertion Sort,ArrayList,1.6776,1.6776,1.6776,1.6776,580345.0,580345.0,580345.0,580345.0
800,Insertion Sort,LinkedList,207.4845,207.4845,207.4845,207.4845,580345.0,580345.0,580345.0,580345.0
800,Bubble Sort,ArrayList,6.4911,6.4911,6.4911,6.4911,609451.0,609451.0,609451.0,609451.0
800,Bubble Sort,LinkedList,420.4723,420.4723,420.4723,420.4723,609451.0,609451.0,609451.0,609451.0
1600,Insertion Sort,ArrayList,5.9730,5.9730,5.9730,5.9730,2319488.0,2319488.0,2319488.0,2319488.0
1600,Insertion Sort,LinkedList,1849.7946,1849.7946,1849.7946,1849.7946,2319488.0,2319488.0,2319488.0,2319488.0
1600,Bubble Sort,ArrayList,8.5500,8.5500,8.5500,8.5500,2438224.0,2438224.0,2438224.0,2438224.0
1600,Bubble Sort,LinkedList,3796.5212,3796.5212,3796.5212,3796.5212,2438224.0,2438224.0,2438224.0,2438224.0
