N,Algorithm,Structure,BestMs,MeanMs,MedianMs,WorstMs,BestOps,MeanOps,MedianOps,WorstOps
100,Insertion Sort,ArrayList,0.5827,0.5833,0.5833,0.5839,4431.0,4676.0,4676.0,4921.0
100,Insertion Sort,LinkedList,0.5813,0.5994,0.5994,0.6175,4523.0,4622.0,4622.0,4721.0
100,Bubble Sort,ArrayList,0.5644,0.6813,0.6813,0.7982,7288.0,7295.5,7295.5,7303.0
100,Bubble Sort,LinkedList,0.8143,0.8204,0.8204,0.8264,7036.0,7176.5,7176.5,7317.0
100,Merge Sort,ArrayList,0.1047,0.1088,0.1088,0.1128,537.0,537.5,537.5,538.0
100,Merge Sort,LinkedList,0.1443,0.1453,0.1453,0.1463,531.0,533.5,533.5,536.0
100,Built-in Sort (Collections.sort),ArrayList,0.0724,0.0803,0.0803,0.0882,-1.0,-1.0,-1.0,-1.0
400,Insertion Sort,ArrayList,0.6336,1.1433,1.1433,1.6529,73116.0,75438.5,75438.5,77761.0
400,Insertion Sort,LinkedList,12.3567,15.5643,15.5643,18.7719,65920.0,68622.0,68622.0,71324.0
400,Bubble Sort,ArrayList,2.0687,3.0087,3.0087,3.9486,115976.0,116045.0,116045.0,116114.0
400,Bubble Sort,LinkedList,28.8231,30.2081,30.2081,31.5931,116952.0,117435.5,117435.5,117919.0
400,Merge Sort,ArrayList,0.1323,0.1723,0.1723,0.2123,2843.0,2856.5,2856.5,2870.0
400,Merge Sort,LinkedList,1.1003,1.7702,1.7702,2.4401,2854.0,2865.5,2865.5,2877.0
400,Built-in Sort (Collections.sort),ArrayList,0.2807,0.3002,0.3002,0.3196,-1.0,-1.0,-1.0,-1.0
800,Insertion Sort,ArrayList,1.3353,1.7161,1.7161,2.0970,291599.0,292904.5,292904.5,294210.0
800,Insertion Sort,LinkedList,118.5164,118.8126,118.8126,119.1088,293430.0,295428.5,295428.5,297427.0
800,Bubble Sort,ArrayList,2.9876,3.0306,3.0306,3.0735,465173.0,465635.0,465635.0,466097.0
800,Bubble Sort,LinkedList,308.4162,315.5452,315.5452,322.6742,455917.0,460018.0,460018.0,464119.0
800,Merge Sort,ArrayList,0.5857,0.5893,0.5893,0.5929,6472.0,6475.5,6475.5,6479.0
800,Merge Sort,LinkedList,4.4856,4.7715,4.7715,5.0575,6531.0,6531.0,6531.0,6531.0
800,Built-in Sort (Collections.sort),ArrayList,0.4158,0.5741,0.5741,0.7324,-1.0,-1.0,-1.0,-1.0
1600,Insertion Sort,ArrayList,2.6638,2.7610,2.7610,2.8582,1145367.0,1153367.0,1153367.0,1161367.0
1600,Insertion Sort,LinkedList,1072.5746,1123.9585,1123.9585,1175.3424,1146143.0,1157990.0,1157990.0,1169837.0
1600,Bubble Sort,ArrayList,9.9146,10.9255,10.9255,11.9363,1841099.0,1858840.0,1858840.0,1876581.0
1600,Bubble Sort,LinkedList,2866.2412,3004.5445,3004.5445,3142.8478,1853720.0,1857114.0,1857114.0,1860508.0
1600,Merge Sort,ArrayList,2.0223,2.0260,2.0260,2.0296,14372.0,14390.5,14390.5,14409.0
1600,Merge Sort,LinkedList,16.5809,17.2153,17.2153,17.8497,14387.0,14398.0,14398.0,14409.0
1600,Built-in Sort (Collections.sort),ArrayList,0.4177,0.5118,0.5118,0.6059,-1.0,-1.0,-1.0,-1.0
