N,Algorithm,Structure,BestMs,MeanMs,MedianMs,WorstMs,BestOps,MeanOps,MedianOps,WorstOps
100,Insertion Sort,ArrayList,0.5166,2.6080,0.6181,10.6740,4223.0,4490.8,4454.0,4739.0
100,Insertion Sort,LinkedList,0.8110,1.6481,0.9233,3.5356,4158.0,4554.4,4694.0,4791.0
100,Bubble Sort,ArrayList,1.3126,1.3783,1.3974,1.4508,6915.0,7131.4,7177.0,7407.0
100,Bubble Sort,LinkedList,2.3286,2.3629,2.3561,2.4111,7036.0,7157.8,7119.0,7271.0
100,Merge Sort,ArrayList,0.1700,0.2162,0.2174,0.2478,524.0,528.2,530.0,531.0
100,Merge Sort,LinkedList,0.1067,0.1083,0.1076,0.1114,523.0,531.2,534.0,535.0
100,Built-in Sort (Collections.sort),ArrayList,0.1245,0.1284,0.1259,0.1389,-1.0,-1.0,-1.0,-1.0
300,Insertion Sort,ArrayList,0.6437,1.3744,0.8460,3.8161,39227.0,41297.4,40522.0,44916.0
300,Insertion Sort,LinkedList,12.3624,14.9930,14.6429,18.1249,37500.0,41631.8,41919.0,45336.0
300,Bubble Sort,ArrayList,1.9216,2.0729,1.9890,2.3178,64533.0,65013.2,64990.0,65765.0
300,Bubble Sort,LinkedList,28.2065,30.0228,29.2251,33.5482,62725.0,64311.2,64506.0,65510.0
300,Merge Sort,ArrayList,0.2650,0.2836,0.2798,0.3121,2023.0,2032.8,2038.0,2040.0
300,Merge Sort,LinkedList,1.2830,1.3013,1.3054,1.3184,2013.0,2026.6,2028.0,2035.0
300,Built-in Sort (Collections.sort),ArrayList,0.6528,0.6878,0.6931,0.7059,-1.0,-1.0,-1.0,-1.0
500,Insertion Sort,ArrayList,1.2604,1.2706,1.2697,1.2816,111423.0,112733.8,112652.0,114702.0
500,Insertion Sort,LinkedList,55.7165,58.2697,58.0278,61.8319,108073.0,111856.6,111829.0,117002.0
500,Bubble Sort,ArrayList,2.4166,2.4637,2.4426,2.5463,178690.0,181309.2,181379.0,182902.0
500,Bubble Sort,LinkedList,150.4279,152.4147,151.9183,155.2582,178391.0,179965.2,180297.0,181063.0
500,Merge Sort,ArrayList,1.8061,1.8287,1.8256,1.8464,3687.0,3712.2,3718.0,3723.0
500,Merge Sort,LinkedList,3.5616,4.6833,5.0704,5.1808,3695.0,3700.2,3699.0,3706.0
500,Built-in Sort (Collections.sort),ArrayList,0.4406,0.5628,0.5824,0.6789,-1.0,-1.0,-1.0,-1.0
700,Insertion Sort,ArrayList,2.1588,2.4177,2.4733,2.5449,210488.0,218022.0,215684.0,224812.0
700,Insertion Sort,LinkedList,165.2136,168.6244,168.2535,171.1640,215424.0,217783.4,217393.0,222351.0
700,Bubble Sort,ArrayList,4.6804,4.7994,4.8327,4.9330,351311.0,353621.6,353258.0,357027.0
700,Bubble Sort,LinkedList,438.3288,448.3629,444.5122,461.7900,347442.0,354635.6,357825.0,358529.0
700,Merge Sort,ArrayList,0.1617,0.1664,0.1635,0.1766,5527.0,5565.4,5568.0,5598.0
700,Merge Sort,LinkedList,5.8347,5.9022,5.8568,6.0299,5539.0,5560.0,5564.0,5580.0
